contig,strand,position,Treatment,a,binarized_meth_type,Treatment_top,a_top,binarized_meth_type_top,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end
contig_56319,true,27147,bottom,0.5665456745311555,middle,top,0.7916666666666666,high,2461702,isoleucyl-tRNA synthetase [EC:6.1.1.5],KOfam,2461702,1765,2461702,212
contig_56319,true,27147,bottom,0.5665456745311555,middle,top,0.7916666666666666,high,2461702,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.1  Forming carbon-oxygen bonds>>>6.1.1  Ligases forming aminoacyl-tRNA and related compounds>>>6.1.1.5  isoleucine---tRNA ligase!!!Amino acid related enzymes>>>Aminoacyl-tRNA synthetase>>>Class I (U)!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Multi-aminoacyl-tRNA synthetase complex (MSC)!!!Transfer RNA biogenesis>>>Prokaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs,KEGG_BRITE,2461702,1765,2461702,212
contig_56319,true,27147,bottom,0.5665456745311555,middle,top,0.7916666666666666,high,2461702,Isoleucyl-tRNA synthetase (IleS) (PDB:1FFY),COG20_FUNCTION,2461702,1765,2461702,212
contig_56319,true,27147,bottom,0.5665456745311555,middle,top,0.7916666666666666,high,2461702,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2461702,1765,2461702,212
contig_56319,true,27147,bottom,0.5665456745311555,middle,top,0.7916666666666666,high,2461702,Aminoacyl-tRNA synthetases,COG20_PATHWAY,2461702,1765,2461702,212
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,pyruvate dehydrogenase E1 component [EC:1.2.4.1],KOfam,2625702,1264,2625701,1394
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,"Pyruvate oxidation, pyruvate => acetyl-CoA",KEGG_Module,2625702,1264,2625701,1394
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,KEGG_Class,2625702,1264,2625701,1394
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00010 Glycolysis / Gluconeogenesis [PATH:ko00010]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00020 Citrate cycle (TCA cycle) [PATH:ko00020]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00620 Pyruvate metabolism [PATH:ko00620]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00785 Lipoic acid metabolism [PATH:ko00785]!!!Enzymes>>>1. Oxidoreductases>>>1.2  Acting on the aldehyde or oxo group of donors>>>1.2.4  With a disulfide as acceptor>>>1.2.4.1  pyruvate dehydrogenase (acetyl-transferring),KEGG_BRITE,2625702,1264,2625701,1394
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)!!!Pyruvate dehydrogenase complex, dehydrogenase (E1) component (AceE) (PDB:1L8A)",COG20_FUNCTION,2625702,1264,2625701,1394
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,Energy production and conversion!!!Energy production and conversion,COG20_CATEGORY,2625702,1264,2625701,1394
contig_64453,true,41606,bottom,0.8406088751289991,high,top,0.75,middle,2625702,Pyruvate oxidation!!!Pyruvate oxidation,COG20_PATHWAY,2625702,1264,2625701,1394
contig_60201,true,1347,bottom,0.8107142857142856,high,top,0.6666666666666666,middle,-1,,,2538691,3878,2538691,4268
