contig,strand,position,Treatment,m,binarized_meth_type,Treatment_top,m_top,binarized_meth_type_top,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end,function_start,source_start,function_end,source_end
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,urea transport system ATP-binding protein,KOfam,urea transport system ATP-binding protein,KOfam
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,urea transport system ATP-binding protein,KOfam,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,urea transport system ATP-binding protein,KOfam,"ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)",COG20_FUNCTION
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,urea transport system ATP-binding protein,KOfam,Amino acid transport and metabolism,COG20_CATEGORY
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE,urea transport system ATP-binding protein,KOfam
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE,"ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)",COG20_FUNCTION
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE,Amino acid transport and metabolism,COG20_CATEGORY
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,"ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)",COG20_FUNCTION,urea transport system ATP-binding protein,KOfam
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489,"ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)",COG20_FUNCTION,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter",KEGG_BRITE
